147,CFiUNWoBKF0
146,CFgD2NHhNa4
145,CFdYY3nhQbg
144,
143,
142,CFI6pdsheWr
141,CFGRTpiBpDJ
140,CFDqQN2hUHD
139,CFBARPnBW5F
138,CE-oVLSjlFt
137,CE8AV6Hj4sd
136,
135,
134,
133,
132,CE5Rx-ahFSt
131,CE248BKDx31
130,
129,CE0QRU7jzu2
128,CExpD6yDup0
127,CEf0J2mBBWx
126,
125,CEdJD0TBktE
124,CEaTaimh9sn
123,CEX7mVdBpae
122,CEVV-aGBgNa
121,CESicYGhaYz
120,CEQVwd0B1Vr
119,CENZRF-BX9Z
118,CELJYSqBZBf
117,CEIbPfUhGiV
116,CEDROqdBhcc
115,CEApa_9Bg7u
114,CD9XTeGh0pL
113,CD7g70CBNX_
112,CD4l8PHB8On
111,CD2Amf_BGnv
110,CDzD5V2BE-B
109,CDv5tX1BwaF
108,CDrwZeGhnUZ
107,CDpAXrbhbA8
106,CDmSpO9hPiA
105,CDj3MX-hgF-
104,CDhFt7XBxnK
103,CDfRZxgB1UZ
102,CDcjUoFhpyr
101,CDZ1MpxBL_O
100,CDXbrK-hd0N
99,CDU-q0pBpYc
98,CDSRAjkB4yO
97,CDPz4wyhqMO
96,CDNQ1p8BAys
95,CDKxvvPhSwZ
94,CDIEog0h15K
93,CDFZoh-hSyU
92,CDC9iN8hHv7
91,CC_4rJ7Bi5-
90,CC9xiMVBePE,>combined with 89
89,CC9xiMVBePE
88,CC7MGVxhvUl
87,CC4yk4ehjKi
86,CC2BgxbhKNl
85,CCw3zIFhjSP
84,CCuThAuhJP5
83,CCrmqmWhtn7
82,CCpJz8phN8M
81,CCl_8TJBl8P
80,CCkIBEAhkz8
79,CCin_N3BzFj
78,CCet1GDBwUr
77,CCZz9yChb2Q
76,CCceTJOBsXd
75,CCXHD6wh-a0
74,CCUTA0TB5f8
73,CCQ5A-EBrRc,>see also B-5grAuhmPl
72,CCMnCRjhvZ1
71,CCKNHUBBzc7
70,
69,
68,
67,
66,
65,CCHYBeahtE1
64,CCD0oQZByt4
63,CAecWMkhmS7
62,CAbwWkqBP55
61,CAY2uMJB6F8
60,CAWd-V_hDX4
59,
58,
57,CARIjBXhGwn
56,CAOmTHkB5cb
55,CAL66ATh0PX
54,CAJlAoKBqhu
53,CAGxm2hhIGD
52,CAEHoWVhvPC
51,CABcnTpBsag
50,B_8gh0Vh-8a
49,B_6Aj4wBDzh
48,B_3nE0WBX6t
47,B_0r6uChumI
46,B_ycPEzhVoo
45,B_v1KDSha6l
44,B_tOnLDhJ3q
43,B_oFBRMDMv8
42,B_lqwpUhRMr
41,B_i4ieOh8sh
40,B_gf5QvhMdE
39,B_fdXVKB_sR
38,B_bT24ghvMm
37,B_Vpc6XhMX5
36,B_TVJHBB-A-
35,B_QwVGDBza6
34,B_QFnachR4L
33,B_LmxqNhOIp
32,B_JHh7hhpls
31,B_GWKmWhv78
30,B_FTBBFBJPO,>'another take on 29'
29,B_Bl0XOhb-5
28,B--lXlNBjlV,>combined with 27
27,B--lXlNBjlV
26,B-76ZZuhh5r
25,B-3DS-wBG6C
24,B-0MW0qhQdo
23,B-x9eryBJw7
22,
21,B-vdFWLBSag
20,
19,B-spHnXhQrU
18,B-qJdEIhR-_
17,B-nLl8wBoX1
16,B-kviZRhEw7
15,B-h6PxNhhdI
14,B-flRfkBAxy
13,B-dFz4PBCwd
12,B-aSkXRBYAA
11,B-X2Snshrqi
10,B-VJdufhwk4
9,
8,B-SgqnzBgO7
7,B-QCLB0Bnkr
6,B-NktrlBc1v
5,
4,B-Kse8Eh-lB
3,B-Id9PJhWZb
2,B-F2tGth-ki
1,B-DeQAGh4eS